asset_id,path,kind,source_url,creator_or_vendor,license,redistribution_status,sha256,theme,implementation_purpose,notes
ref-settings-appearance-dark,references/dark/settings-appearance-dark.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,1be482bb95b627cc4f4697e1833c10e59b3036e0653033be57637163956734a0,dark,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-cards-light,references/light/cards-light.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,0f08530f801f0f6bad8fec690f46531e75c869c5ead7ee35b09c97426284bd28,light,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-editor-dual-light,references/light/editor-dual-light.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,bfcca92cd651adfabb541a960b24e173828483e5d7ce0f9d0c312641567e47ce,light,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-editor-single-light,references/light/editor-single-light.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,0beb81153edae696f899f5b7b9ca3b7650f962ac8f8f18e506716a5924017c3c,light,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-error-recovery-light,references/light/error-recovery-light.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,f1c4aa9c317ac96efa4e39c80638d3e7704be02e06ffc95be95bbff88b771308,light,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-export-light,references/light/export-light.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,003091e25ba737c98ec5abb597ee239e1b4090ccfa7eac7d69a8fdca61238362,light,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-global-search-light,references/light/global-search-light.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,fcc21f92f61b194c46aa40cdc0566d0daa1b6835fc805c7509db55b7e9bdc420,light,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-history-light,references/light/history-light.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,68a999b12a079179624a56dec82bacfd998e41b3e12f1f98cb6c1d5d01faf6f2,light,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-launcher-light,references/light/launcher-light.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,0f3eb74338f946297843cb1627fdfad9fcf9b9cefb02512ce9bf130873e4c82f,light,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-recently-deleted-light,references/light/recently-deleted-light.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,592e83fb9608c28c7682184d4098c1c2e9eacbfd2fc948b6b19e2e888aa9176c,light,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-settings-appearance-light,references/light/settings-appearance-light.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,89032aa21da5aeb6f6b36a73e07fa3a351f874c37ec9c66e90c087ef278c4f6e,light,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
pm-icon-000,assets/icons/pm-icon-000.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,482714bc6876f2fca3584f9641a030846124db22522a79b4806d309ad8b68987,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / settings-metadata-fields
pm-icon-001,assets/icons/pm-icon-001.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,bd29c60c4e7214d9fab8c61f640c54eb96476d1cc96e84ed2c4e15436b34251d,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / settings-metadata-fields
pm-icon-002,assets/icons/pm-icon-002.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,c391f5946f0d7ad8494b005ccd464e638ade32153b4ea2941691bcf53641f945,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / settings-metadata-fields
pm-icon-003,assets/icons/pm-icon-003.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,004e792355087fbe876d11655af80d03e0d4c7989ebcb5f721ccb8e438dca4eb,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Search History Project
pm-icon-004,assets/icons/pm-icon-004.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,7944046254946c7ca172772fa9e0c5b1709dbcf3c556d5a7b93051cdf4766149,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Search History Project
pm-icon-005,assets/icons/pm-icon-005.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,85a1f36585e8c51d50713686926c8f43db385aff01ee11bc566df06156f26c85,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Search History Project
pm-icon-006,assets/icons/pm-icon-006.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,553530c7b24992ebffa50d0da04bfcb11bb91ae789a969c7ed7260b8eb245969,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-local-find
pm-icon-007,assets/icons/pm-icon-007.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,9089a9091eb88d279c97e205dcdb85a83de0a9cbe4090fd93cebe80618b7d07b,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-local-find
pm-icon-008,assets/icons/pm-icon-008.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,fac4d5e936612fdf86bb8c7d439d52e245353ab18180bfd2677e561b6c28bf81,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Editor
pm-icon-009,assets/icons/pm-icon-009.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,426f5d4ee3af3acf75cc3d2ae45953a48422594182de1bb578e6df72227a71de,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Editor
pm-icon-010,assets/icons/pm-icon-010.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,9db9518e554130fe2ca2d6ca95971d7899ab4351850ca2eb31cd979251c079f3,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-local-replace
pm-icon-011,assets/icons/pm-icon-011.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,f57db6144ed8738e38ce93c08ecc56d1127c71a3605e66b8ff8db4cfd80de9b4,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-local-replace
pm-icon-012,assets/icons/pm-icon-012.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,c8426dddc669f96e8deca56df524fa118cb40dfaf40a1fb2d8a69bae322dc411,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / comments-orphaned
pm-icon-013,assets/icons/pm-icon-013.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,7ff443b58d8f8d382044ea7cd7d2588a4662691ffc44af1e75751201ccd049d2,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / comments-unresolved-thread
pm-icon-014,assets/icons/pm-icon-014.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,85933cd88ec6bddc214c2c22cb957b867849480f33eb0db0dd07760e4eeecfa4,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-long-comments
pm-icon-015,assets/icons/pm-icon-015.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,524385c80c56a5be855275fa20613ac18d216dd01732393e3c8d267fe1906dd5,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-single-default
pm-icon-016,assets/icons/pm-icon-016.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,2dc2b2f12688676757a262f606d09e67c3c2c0aa8544b3329a6af84aec8540f2,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / create-and-write / editor-ready
pm-icon-017,assets/icons/pm-icon-017.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,0af185d9605c58edc8fc710caa1865ba8a2fbd3779576e76722c556cb78f4a7a,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-long-comments
pm-icon-018,assets/icons/pm-icon-018.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,812b06fd81fc80cfcef6428acb6944f626b2248bf0b30bb8a73b6c5b3c2b20f8,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / create-and-write / editor-ready
pm-icon-019,assets/icons/pm-icon-019.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,1ad05981b630c7abd6770480b5591a7c16ae4313540a55cc0373ffaac460f4cb,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-long-comments
pm-icon-020,assets/icons/pm-icon-020.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,40f4073abba348f9d5055070508bf5d939b4ddf6365a880951c7eadc5beda54f,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / create-and-write / editor-ready
pm-icon-021,assets/icons/pm-icon-021.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,e6558ba4bfa85694df8c88d18434e6f3228562e62549ea92453c2f9aba1a39fa,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-dual-manuscript-research-left-focus
pm-icon-022,assets/icons/pm-icon-022.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,581785d481cf2e9450d95e8d57bcf26b9ecf8a56040331b8762d31db639821d2,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-dual-manuscript-research-left-focus
pm-icon-023,assets/icons/pm-icon-023.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,200d04a181a0086d2da7060070c658e69a4924622ddb9e4e04dc831e17a3559d,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-dual-manuscript-research-left-focus
pm-icon-024,assets/icons/pm-icon-024.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,5233e1cc4895c184f9578afadc649251b681baff045c19d9315ce9b53598b65a,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-single-default
pm-icon-025,assets/icons/pm-icon-025.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,fc0daf13c0dd8f2dee9f7108de29c8ac838932172d5496d14a50045d99ff089e,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / save-failure-retry / editor-saved
pm-icon-026,assets/icons/pm-icon-026.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,0fde12cfd6fea842f879aa855c0e9f3a8a72a96ca4ac41c14c3ad005e74f4a16,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / save-failure-retry / editor-saved
pm-icon-027,assets/icons/pm-icon-027.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,42484f640d351d26c8d6601548bb7e07cbceabe5dadb91da0fa8dd58789b5049,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / save-failure-retry / editor-saved
pm-icon-028,assets/icons/pm-icon-028.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,4b4bdb8e5d957812d0b01e7c15dc83101fc5bf07d05f276c973ae4ad604d3122,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-semantic-content-and-breaks
pm-icon-029,assets/icons/pm-icon-029.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,3904a4f2d07b4c6d27c606669d3f45d57596d637bc99db827cff938d20ed3570,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-single-default
pm-icon-030,assets/icons/pm-icon-030.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,b7873076229230271a38875e128c62107c47ef9d307734df0769c17c44ea0b12,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / cards-and-organize / editor-return
pm-icon-031,assets/icons/pm-icon-031.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,004708125f681293d190279886bbad651b05659b6f98841bfef5820934d3ac27,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-semantic-content-and-breaks
pm-icon-032,assets/icons/pm-icon-032.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,ebda15370285dcbf48d3a05ac941c6a580ce594fcbb79bdfe11204e8f9227fcf,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / cards-and-organize / editor-return
pm-icon-033,assets/icons/pm-icon-033.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,f6b8d3d3f5a2c06ddfb13e4fb0e9038c15ef6ec39e6b4af1dae772afd967ca7b,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-semantic-content-and-breaks
pm-icon-034,assets/icons/pm-icon-034.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,56b0c6d0496a5bcc9c655350929e65b8ceee057bfcffb1f183479380e2e2fc24,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / cards-and-organize / editor-return
pm-icon-035,assets/icons/pm-icon-035.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,a7ca8897508b9496b6dd0b7e59375c4de9a7eebf1b344d948f2b1b68fbd09181,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-long-comments
pm-icon-036,assets/icons/pm-icon-036.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,8baa549e9d475cd8d196561d5f2a2c196331ff36bcbcaa21b152b2d3f27bb645,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-local-find
pm-icon-037,assets/icons/pm-icon-037.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,8475d0c61e727a15a6625f83f9327b200dfd3cc3c9fbfeb7a33ad4a6a106a89b,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / cards-research-selected
pm-icon-038,assets/icons/pm-icon-038.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,68062dc12803e5acf55b8093081e3ea58bf204fc4dd9e5f95145be50e2bb013f,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-local-find
pm-icon-039,assets/icons/pm-icon-039.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,beb713c2a4a0e7475cb1c3e73457a4fc475a76718a01dfcc276ce87ab4c2d43d,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-dual-manuscript-research-right-focus
pm-icon-040,assets/icons/pm-icon-040.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,76b12add586b074fbbb3207d4329bbf3754e771a3ea1ee2755fddce0c9f7f733,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-dual-manuscript-research-right-focus
pm-icon-041,assets/icons/pm-icon-041.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,044ca9a6d8e9032d8889a465e177b8dc7a03b03e372c2b2a0345fc19b07ab34a,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / cards-research-selected
pm-icon-042,assets/icons/pm-icon-042.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,7b9023c9adf3091d8d754a176e422b198cc65d776b0b904cdadad2c643af6a9d,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / global-replace-preview-exclusions
pm-icon-043,assets/icons/pm-icon-043.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,ffa0eba0f0463676b608f9ad6793269d2adeea11f15935ecc3a3a55525085629,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / global-replace-preview-exclusions
pm-icon-044,assets/icons/pm-icon-044.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,529c4d64d317ab18a0ecb8014ddc0f0505f9729776baf337144b616442d31690,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / search-streaming-results
pm-icon-045,assets/icons/pm-icon-045.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,3d40e25b5a786eab09a396495fc156cd9a27efda0f0a32aecabba7424367a261,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / search-streaming-results
pm-icon-046,assets/icons/pm-icon-046.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,f01a5b5f8c00bb4f153210db5a450c78417afe91817da2c5c2d8e4b3eae5d794,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-local-find
pm-icon-047,assets/icons/pm-icon-047.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,584f729e0249573288a1acfa07131fe9835b58c19afab969f1946fe70b435c72,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / cards-research-selected
pm-icon-048,assets/icons/pm-icon-048.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,20cfdebf992dd3feb9e26a48e5a85e31faa33987bb0bc12eb4f9bb9b4f98ac45,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-dual-manuscript-research-right-focus
pm-icon-049,assets/icons/pm-icon-049.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,7634ba7d3a6862055e7f4d7ae14898228fca336b1f9c822c6e98795760d5917c,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Shell & Explorer
pm-icon-050,assets/icons/pm-icon-050.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,c16074be4294b827469534de67a5c04686c7f985de4089e8a3f7ef6e1a74b064,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Shell & Explorer
pm-icon-051,assets/icons/pm-icon-051.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,0803f843fcf3b671e58cf03000f7cdfc39997c9dd2f967b3abdcc9f68420af60,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Shell & Explorer
pm-icon-052,assets/icons/pm-icon-052.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,5ba08819a499a4d4a407441eb1199ddf4fe8e869794dfc52ec0d10f8aa21c053,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Shell & Explorer
pm-icon-053,assets/icons/pm-icon-053.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,b03f59b9218893f29d73c48df433298a03eae1dae952ceb86380943baaff8fa2,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Shell & Explorer
pm-icon-054,assets/icons/pm-icon-054.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,7d85b448103bbc433bcfea537e531654c6613ceea35fd03c28429b556e4da8a0,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Shell & Explorer
pm-icon-055,assets/icons/pm-icon-055.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,48de0a9a1e3bc203de480617491030bc10ad2588a20e1363b9650f69b517e4d0,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Shell & Explorer
pm-icon-056,assets/icons/pm-icon-056.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,7169d5a958b15a64c1a2a8e79607b03c280c30dee84af2571b6800dde0da00b7,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-long-comments
pm-icon-057,assets/icons/pm-icon-057.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,f439be8fd9b2c436646fed76d8fb783bd203d2fd3c723194b9ec26fd13f4b747,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-single-default
pm-icon-058,assets/icons/pm-icon-058.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,ca0cff8261c25796ccc017e77aa0dd9a7baec11438db787bb74db1098b5592e4,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / create-and-write / editor-ready
pm-icon-059,assets/icons/pm-icon-059.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,af964808929acd3c8dbf47bf0d81216815ed03a170eb98af193c8e24c50f14fb,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-long-comments
pm-icon-060,assets/icons/pm-icon-060.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,e5d98c524ce799701cf6f866284d9f24bb580ae5c58584d240a624df6babe9c9,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / create-and-write / editor-ready
pm-icon-061,assets/icons/pm-icon-061.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,51191524bc26d48d73f01d6cd08730b5a8e53f83dd69bc6410299ac66c641c43,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-dual-manuscript-research-left-focus
pm-icon-062,assets/icons/pm-icon-062.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,6d0e0f6c15abceb8f2f27b4acdb819b8b622dbb9101e3321d94154d26f1412e1,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-dual-manuscript-research-left-focus
pm-icon-063,assets/icons/pm-icon-063.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,2006796996e37236682fd6a578d2b65c6044ce71b881f46932003a99374c473d,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-single-default
pm-icon-064,assets/icons/pm-icon-064.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,1a91c0be48b470a1204c6f5d7e5363c264345a7fbbcb52be65cd734a1415e32e,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / save-failure-retry / editor-saved
pm-icon-065,assets/icons/pm-icon-065.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,39e05ed562377041c12e2dfc5cb018c5e54f591013a19c704a6a35c81cf897dc,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / save-failure-retry / editor-saved
pm-icon-066,assets/icons/pm-icon-066.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,82d3f358956d3ca1407e7d97b25039c57bfe3238d65f4d4b65f900a0eb977f09,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-semantic-content-and-breaks
pm-icon-067,assets/icons/pm-icon-067.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,d222cfe045bd37b281b0b10008c23058ece01a27959d19527b9c0a696c620b9c,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / cards-and-organize / editor-return
pm-icon-068,assets/icons/pm-icon-068.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,205942e1906fbead133efcaf05567dad594eb3b434117bbb185ba217c69695c3,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / editor-semantic-content-and-breaks
pm-icon-069,assets/icons/pm-icon-069.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,cdd7d43f3fad9007a6378d8ac33d9079697e75a414d600b0a702a79c99831571,both,icon glyph asset (token-colored in app),canonical source: PM / Prototype Terminal / cards-and-organize / editor-return
pm-icon-070,assets/icons/pm-icon-070.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,25b8645596185010c94beac5d9e187e13e5b2ba408b9b5ae2e01900d56734978,both,icon glyph asset (token-colored in app),canonical source: PM / Screen / cards-research-selected
pm-icon-071,assets/icons/pm-icon-071.svg,svg icon,,ParchMint design team (Penpot),exported from archive geometry; Material-aligned monochrome metaphor,included,4ac76816be8c1ed42d3d7d12732c8a94f00e016e1c59235be5b408ed64b5b68e,both,icon glyph asset (token-colored in app),canonical source: PM / Components / Shell & Explorer
