requirement_id,requirement_summary,penpot_screen_ids,penpot_component_ids,implementation_modules,implementation_run_id,candidate_commit,developer_tests,independent_tests,test_charter_run_id,independent_test_run_id,test_charter_commit,independent_test_exemption,native_manual_tests,test_tier,status,current_notes
WS-009,"Focusing or clicking an editor view sets the Inspector context to that editor's document, even if the tree retains another selection.",e96ec683-a782-802c-8008-65fa19493512|e96ec683-a782-802c-8008-65f9fa8f73f4|e96ec683-a782-802c-8008-65fa002ff390|e96ec683-a782-802c-8008-65fa061c369c|e96ec683-a782-802c-8008-65f9f48c32a9|e96ec683-a782-802c-8008-65f86db30e62|e96ec683-a782-802c-8008-65f879cd4b83|e96ec683-a782-802c-8008-65f7fdf858b9|e96ec683-a782-802c-8008-65fa1f2ce4b0|e96ec683-a782-802c-8008-65fa2a7463fd|e96ec683-a782-802c-8008-65fa24b8839c,,,,,,,,,,,,A,not_started,
WS-010,"Focus, selection, open-tab state, and active context must be distinguishable, keyboard accessible, and programmatically exposed. Color alone is insufficient.",e96ec683-a782-802c-8008-65f7fdf858b9,e96ec683-a782-802c-8008-660778942c0f,,,,,,,,,,,A,not_started,
WS-011,The minimum supported application-window size is 1280 × 720 logical pixels. ParchMint must prevent resizing below that minimum rather than substituting a mobile or feature-reduced layout.,,,,,,,,,,,,,A,not_started,
WS-012,"Every project workspace must provide persistent, mutually exclusive navigation to Editor, Cards, project History, Recently Deleted, Export, and Project Settings. Global Search is entered from the Explorer header and replaces Explorer in the left sidebar.",,e96ec683-a782-802c-8008-6607f362d598,,,,,,,,,,,A,not_started,
WS-013,"The bottom status bar must provide keyboard-accessible controls to show or hide Explorer and Inspector in addition to word count, save status, and a contextual document-History action. Pane controls expose pressed state. The History action targets the focused pane's active document and is unavailable when no document is active.",e96ec683-a782-802c-8008-65f80715d743|e96ec683-a782-802c-8008-660965c89f60|e96ec683-a782-802c-8008-65f86db30e62|e96ec683-a782-802c-8008-65f879cd4b83|e96ec683-a782-802c-8008-65f886281b72|e96ec683-a782-802c-8008-65f80de435f3|e96ec683-a782-802c-8008-65f815dec29f|e96ec683-a782-802c-8008-65f8414ccd0f|e96ec683-a782-802c-8008-65f84b13b6c6|e96ec683-a782-802c-8008-65f83837a5e5|e96ec683-a782-802c-8008-65f89294547e|c6b492ab-8095-8078-8008-6701b08cbb40|e96ec683-a782-802c-8008-65f7fdf858b9|e96ec683-a782-802c-8008-6609938011df|e96ec683-a782-802c-8008-660966256515,e96ec683-a782-802c-8008-65f5e7195d18,,,,,,,,,,,A,not_started,
WS-014,Applicable Synopsis and metadata values in Inspector must be editable in place; Comments remain available only for document context.,,e96ec683-a782-802c-8008-65f5e1526037,,,,,,,,,,,A,not_started,
WS-015,"Inspector sections, Explorer roots, grouped Global Search results, and comparable Cards groups must expose consistent expand/collapse behavior and state.",e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804|e96ec683-a782-802c-8008-65fa19493512|e96ec683-a782-802c-8008-65f9fa8f73f4|e96ec683-a782-802c-8008-65fa002ff390|e96ec683-a782-802c-8008-65fa061c369c|e96ec683-a782-802c-8008-65f9f48c32a9|e96ec683-a782-802c-8008-65f80715d743|e96ec683-a782-802c-8008-660965c89f60|e96ec683-a782-802c-8008-65f86db30e62|e96ec683-a782-802c-8008-65f879cd4b83|e96ec683-a782-802c-8008-65f886281b72|e96ec683-a782-802c-8008-65f80de435f3|e96ec683-a782-802c-8008-65f815dec29f|e96ec683-a782-802c-8008-65f8414ccd0f|e96ec683-a782-802c-8008-65f84b13b6c6|e96ec683-a782-802c-8008-65f83837a5e5|e96ec683-a782-802c-8008-65f89294547e|c6b492ab-8095-8078-8008-6701b08cbb40|e96ec683-a782-802c-8008-65f7fdf858b9|e96ec683-a782-802c-8008-6609938011df|e96ec683-a782-802c-8008-65fb64349f88|e96ec683-a782-802c-8008-660966256515|e96ec683-a782-802c-8008-65f9c16a2709|e96ec683-a782-802c-8008-65fa1f2ce4b0|e96ec683-a782-802c-8008-65fa2a7463fd|e96ec683-a782-802c-8008-65fa24b8839c|e96ec683-a782-802c-8008-65fb59b02e93|e96ec683-a782-802c-8008-65f9a2cffacf|e96ec683-a782-802c-8008-65f9972c44e6|e96ec683-a782-802c-8008-65f9bbc1b569|e96ec683-a782-802c-8008-65f9c73f12a6|e96ec683-a782-802c-8008-65f99d3542bd,,,,,,,,,,,,A,not_started,
APPR-001,"Application settings must provide exactly three appearance choices in v1: `System`, `Light`, and `Dark`.",469ffc7d-964a-806d-8008-6c33b6cca37b|a75ba61d-99f5-8033-8008-6d4dd58f3557|469ffc7d-964a-806d-8008-6c33b32674a9,,,,,,,,,,,,A,not_started,
APPR-002,`System` is the default and follows the current operating-system appearance while ParchMint is running.,469ffc7d-964a-806d-8008-6c33b32674a9,,,,,,,,,,,,A,not_started,
APPR-003,An explicit Light or Dark choice persists as an application preference and overrides later operating-system changes until changed by the user.,469ffc7d-964a-806d-8008-6c33b6cca37b|a75ba61d-99f5-8033-8008-6d4dd58f3557,,,,,,,,,,,,A,not_started,
APPR-004,"Changing appearance updates every open ParchMint window without restarting and without entering project undo, project save, or project history.",469ffc7d-964a-806d-8008-6c33b6cca37b|a75ba61d-99f5-8033-8008-6d4dd58f3557|469ffc7d-964a-806d-8008-6c33b32674a9,,,,,,,,,,,,A,not_started,
APPR-005,"Dark appearance uses fully dark application, sidebar, Inspector, toolbar, editor-chrome, and manuscript-canvas surfaces. It must not leave the prose canvas as a light sheet.",469ffc7d-964a-806d-8008-6c33b6cca37b,,,,,,,,,,,,A,not_started,
APPR-006,Light and Dark use the same semantic component and layout contracts. Production components must consume semantic tokens rather than hard-coded theme-dependent colors.,,,,,,,,,,,,,A,not_started,
APPR-007,"Authored project styles, canonical HTML/CSS, and export output must not change when application appearance changes.",469ffc7d-964a-806d-8008-6c33b6cca37b|a75ba61d-99f5-8033-8008-6d4dd58f3557|469ffc7d-964a-806d-8008-6c33b32674a9,,,,,,,,,,,,A,not_started,
APPR-008,"Focus, selection, disabled, warning, error, comment, search-match, and save states must remain distinguishable and accessible in both appearances without relying on color alone.",469ffc7d-964a-806d-8008-6c33b6cca37b|a75ba61d-99f5-8033-8008-6d4dd58f3557|469ffc7d-964a-806d-8008-6c33b32674a9,,,,,,,,,,,,A,not_started,
APPR-009,v1 provides the Appearance setting only; a toolbar or status-bar quick toggle is deferred.,469ffc7d-964a-806d-8008-6c33b6cca37b|a75ba61d-99f5-8033-8008-6d4dd58f3557|469ffc7d-964a-806d-8008-6c33b32674a9,,,,,,,,,,,,A,not_started,
TREE-001,Explorer must show Manuscript and Research as independent collapsible sections containing their ordered hierarchies.,e96ec683-a782-802c-8008-65fb64349f88,e96ec683-a782-802c-8008-65f5a00e8a95|e96ec683-a782-802c-8008-65f5eb2cd3f9|e96ec683-a782-802c-8008-65f5e0564ae5|e96ec683-a782-802c-8008-65f5ea0be98b,,,,,,,,,,,A,not_started,
TREE-002,"Users must create, rename, and delete groups and documents under either root.",e96ec683-a782-802c-8008-65fb64349f88|e96ec683-a782-802c-8008-660966256515,e96ec683-a782-802c-8008-65f5f217ce21|e96ec683-a782-802c-8008-65f5ec3722d4|e96ec683-a782-802c-8008-65f5f11a916f|e96ec683-a782-802c-8008-65f5ea0be98b,,,,,,,,,,,A,not_started,
TREE-003,Groups may contain groups and documents; documents may not have children.,,e96ec683-a782-802c-8008-65f5ec3722d4|e96ec683-a782-802c-8008-65f5ea0be98b,,,,,,,,,,,A,not_started,
TREE-004,All sibling ordering must be explicit and deterministic.,e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804,,,,,,,,,,,,A,not_started,
TREE-005,"Drag/drop must reorder siblings, move nodes into groups, and move nodes between Manuscript and Research.",e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804,,,,,,,,,,,,A,not_started,
TREE-006,Moving a group must move its complete subtree; cycles must be rejected.,e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804,,,,,,,,,,,,A,not_started,
TREE-007,Users must be able to select a contiguous range with Shift and noncontiguous nodes with the platform additive-selection modifier.,e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804,e96ec683-a782-802c-8008-65f5f01ca60e,,,,,,,,,,,A,not_started,
TREE-008,Batch operations must normalize ancestor/descendant selections so a selected ancestor subsumes selected descendants.,e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804,e96ec683-a782-802c-8008-65f5f01ca60e,,,,,,,,,,,A,not_started,
TREE-009,"Batch move, delete, and applicable metadata operations must preserve relative ordering.",e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804,e96ec683-a782-802c-8008-65f5f01ca60e,,,,,,,,,,,A,not_started,
TREE-010,`Copy`/`Paste` in Explorer or Cards must duplicate selected documents with fresh IDs and filenames.,e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804|e96ec683-a782-802c-8008-660966256515,e96ec683-a782-802c-8008-65f5f217ce21,,,,,,,,,,,A,not_started,
TREE-011,"Document copies include body, title behavior, styles, Synopsis, metadata, and export settings, but not comments or history identity.",e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804,,,,,,,,,,,,A,not_started,
TREE-012,"When an original display title matches its first document-title block, the copy suffix is applied to both so synchronization remains active. If they differ, only the display title receives the suffix.",e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804,,,,,,,,,,,,A,not_started,
TREE-013,"`Cut`/`Paste` moves selected documents. Cut items remain until paste succeeds, appear visually pending, and can be cancelled with Escape.",e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804|e96ec683-a782-802c-8008-660966256515,e96ec683-a782-802c-8008-65f5f217ce21|e96ec683-a782-802c-8008-65f5ef230290,,,,,,,,,,,A,not_started,
TREE-014,Group copy and keyboard cut are deferred; groups remain movable through drag/drop.,,,,,,,,,,,,,A,not_started,
TREE-015,Cross-project copy is deferred.,,,,,,,,,,,,,A,not_started,
TREE-016,Single-click selects; double-click or Enter opens a document. Groups do not open as prose editors.,e96ec683-a782-802c-8008-660966256515,e96ec683-a782-802c-8008-65f5f217ce21|e96ec683-a782-802c-8008-65f5ec3722d4|e96ec683-a782-802c-8008-65f5eb2cd3f9,,,,,,,,,,,A,not_started,
TREE-017,Manuscript documents open in the primary pane by default; Research documents open in the companion by default.,e96ec683-a782-802c-8008-65f86db30e62,,,,,,,,,,,,A,not_started,
TREE-018,Dragging a document onto a pane or tab strip opens it in that pane.,e96ec683-a782-802c-8008-65f886281b72|e96ec683-a782-802c-8008-660966256515,e96ec683-a782-802c-8008-65f5f217ce21,,,,,,,,,,,A,not_started,
TREE-019,Explorer must reveal and distinguish the active document in each editor pane. The focused pane's document is exposed as the primary active context.,,e96ec683-a782-802c-8008-65f5e0564ae5|e96ec683-a782-802c-8008-660778942c0f,,,,,,,,,,,A,not_started,
TREE-020,"Explorer's context menu provides applicable create, open, open-in-companion, rename, copy, cut, and delete actions.",e96ec683-a782-802c-8008-660966256515,e96ec683-a782-802c-8008-65f5f217ce21,,,,,,,,,,,A,not_started,
EDIT-001,Each editor pane must support multiple reorderable tabs.,e96ec683-a782-802c-8008-65f886281b72|e96ec683-a782-802c-8008-65f7fdf858b9,e96ec683-a782-802c-8008-65f64362a649|e96ec683-a782-802c-8008-660773416c6c|e96ec683-a782-802c-8008-65f5e620057d,,,,,,,,,,,A,not_started,
EDIT-002,A document may be open at most once per pane and once in each of the two panes simultaneously.,e96ec683-a782-802c-8008-65f886281b72|e96ec683-a782-802c-8008-65f89294547e,e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
EDIT-003,Opening an already-open document in a pane focuses its existing tab.,e96ec683-a782-802c-8008-65f886281b72,e96ec683-a782-802c-8008-65f64362a649|e96ec683-a782-802c-8008-660773416c6c|e96ec683-a782-802c-8008-65f5e620057d,,,,,,,,,,,A,not_started,
EDIT-004,Closing the last companion tab closes the companion pane and expands the primary.,e96ec683-a782-802c-8008-65f886281b72,e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
EDIT-005,Closing a tab never deletes the document.,e96ec683-a782-802c-8008-65f886281b72,e96ec683-a782-802c-8008-65f64362a649|e96ec683-a782-802c-8008-660773416c6c|e96ec683-a782-802c-8008-65f5e620057d,,,,,,,,,,,A,not_started,
EDIT-006,"The same document in two panes shares body content, formatting, comments, undo history, save state, and word count.",e96ec683-a782-802c-8008-65f86db30e62|e96ec683-a782-802c-8008-65f879cd4b83|e96ec683-a782-802c-8008-65f89294547e,e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
EDIT-007,"Each view retains independent cursor, selection, scroll position, viewport, focus, and local-search state.",e96ec683-a782-802c-8008-65f86db30e62|e96ec683-a782-802c-8008-65f879cd4b83|e96ec683-a782-802c-8008-65f8414ccd0f|e96ec683-a782-802c-8008-65f89294547e,e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
EDIT-008,An edit made in one mounted view appears in the other mounted view by the next rendered frame under normal load.,e96ec683-a782-802c-8008-65f86db30e62|e96ec683-a782-802c-8008-65f879cd4b83|e96ec683-a782-802c-8008-65f89294547e,e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
EDIT-009,"Undo invoked from either view undoes the latest document operation in shared document history, regardless of origin.",e96ec683-a782-802c-8008-65f86db30e62|e96ec683-a782-802c-8008-65f879cd4b83|e96ec683-a782-802c-8008-65f89294547e,e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
EDIT-010,"All supported documents, including documents near 250,000 words, retain the same two-view and editing capabilities.",c6b492ab-8095-8078-8008-6702042ef83c|e96ec683-a782-802c-8008-65f83837a5e5|e96ec683-a782-802c-8008-65f89294547e,e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
EDIT-011,The contextual document-History action opens project History filtered to changes affecting the focused pane's active document.,e96ec683-a782-802c-8008-65f80715d743|e96ec683-a782-802c-8008-660965c89f60|e96ec683-a782-802c-8008-65f86db30e62|e96ec683-a782-802c-8008-65f879cd4b83|e96ec683-a782-802c-8008-65f886281b72|e96ec683-a782-802c-8008-65f80de435f3|e96ec683-a782-802c-8008-65f815dec29f|e96ec683-a782-802c-8008-65f8414ccd0f|e96ec683-a782-802c-8008-65f84b13b6c6|e96ec683-a782-802c-8008-65f83837a5e5|e96ec683-a782-802c-8008-65f89294547e|c6b492ab-8095-8078-8008-6701b08cbb40|e96ec683-a782-802c-8008-65f7fdf858b9|e96ec683-a782-802c-8008-6609938011df|e96ec683-a782-802c-8008-660966256515,e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
EDIT-012,"Every populated editor pane keeps its tab strip present and distinguishes active tab, focused pane, dirty tabs, and named close controls. Tabs shrink uniformly on overflow while preserving the first title character, ellipsis, and close control; full titles remain accessible.",e96ec683-a782-802c-8008-65f80715d743|e96ec683-a782-802c-8008-660965c89f60|c6b492ab-8095-8078-8008-6702042ef83c|e96ec683-a782-802c-8008-65f86db30e62|e96ec683-a782-802c-8008-65f879cd4b83|e96ec683-a782-802c-8008-65f886281b72|e96ec683-a782-802c-8008-65f80de435f3|e96ec683-a782-802c-8008-65f815dec29f|e96ec683-a782-802c-8008-65f8414ccd0f|e96ec683-a782-802c-8008-65f84b13b6c6|e96ec683-a782-802c-8008-65f83837a5e5|e96ec683-a782-802c-8008-65f89294547e|c6b492ab-8095-8078-8008-6701b08cbb40|e96ec683-a782-802c-8008-65f7fdf858b9|e96ec683-a782-802c-8008-6609938011df|e96ec683-a782-802c-8008-660966256515,e96ec683-a782-802c-8008-65f64362a649|e96ec683-a782-802c-8008-660773416c6c|e96ec683-a782-802c-8008-65f5e620057d,,,,,,,,,,,A,not_started,
FMT-001,The editor is WYSIWYG and does not expose raw HTML source editing.,c6b492ab-8095-8078-8008-6701b08cbb40,e96ec683-a782-802c-8008-65f641eca84d|e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
FMT-002,Every text block has one semantic paragraph style referenced through a stable ID.,c6b492ab-8095-8078-8008-6701b08cbb40,e96ec683-a782-802c-8008-65f641eca84d|e96ec683-a782-802c-8008-65f64362a649|e96ec683-a782-802c-8008-65f64567de5c,,,,,,,,,,,A,not_started,
FMT-003,"Reserved styles include Body, Document Title, Heading 1, Heading 2, Heading 3, Block Quote, and Verse.",c6b492ab-8095-8078-8008-6701b08cbb40|e96ec683-a782-802c-8008-65fab0e9731e|e96ec683-a782-802c-8008-65fab46a9e2b|e96ec683-a782-802c-8008-65faad3d6d8c,e96ec683-a782-802c-8008-65f641eca84d|e96ec683-a782-802c-8008-65f64362a649|e96ec683-a782-802c-8008-65f7052e0f41|e96ec683-a782-802c-8008-65f64567de5c,,,,,,,,,,,A,not_started,
FMT-004,Users may edit reserved style properties and display names but may not delete reserved styles.,c6b492ab-8095-8078-8008-6701b08cbb40|e96ec683-a782-802c-8008-65fab0e9731e|e96ec683-a782-802c-8008-65fab46a9e2b|e96ec683-a782-802c-8008-65faad3d6d8c,e96ec683-a782-802c-8008-65f641eca84d|e96ec683-a782-802c-8008-65f64362a649|469ffc7d-964a-806d-8008-6c952fec7805|e96ec683-a782-802c-8008-65f7052e0f41|e96ec683-a782-802c-8008-65f64567de5c,,,,,,,,,,,A,not_started,
FMT-005,"Users may create, rename, inherit, and edit custom project styles.",c6b492ab-8095-8078-8008-6701b08cbb40|e96ec683-a782-802c-8008-65fab0e9731e|e96ec683-a782-802c-8008-65fab46a9e2b|e96ec683-a782-802c-8008-65faad3d6d8c,e96ec683-a782-802c-8008-65f641eca84d|e96ec683-a782-802c-8008-65f64362a649|469ffc7d-964a-806d-8008-6c952fec7805|e96ec683-a782-802c-8008-65f7052e0f41|e96ec683-a782-802c-8008-65f64567de5c,,,,,,,,,,,A,not_started,
FMT-006,"Style properties include font family/size, weight, italics, alignment, first-line/left/right indentation, line spacing, space before/after, keep-with-next, and page-break-before where meaningful.",c6b492ab-8095-8078-8008-6701b08cbb40|e96ec683-a782-802c-8008-65fab0e9731e|e96ec683-a782-802c-8008-65fab46a9e2b|e96ec683-a782-802c-8008-65faad3d6d8c,e96ec683-a782-802c-8008-65f641eca84d|e96ec683-a782-802c-8008-65f64362a649|469ffc7d-964a-806d-8008-6c952fec7805|e96ec683-a782-802c-8008-65f7052e0f41|e96ec683-a782-802c-8008-65f64567de5c,,,,,,,,,,,A,not_started,
FMT-007,Changing a style immediately updates every mounted occurrence without rewriting each document solely because visual properties changed.,c6b492ab-8095-8078-8008-6701b08cbb40|e96ec683-a782-802c-8008-65fab0e9731e|e96ec683-a782-802c-8008-65fab46a9e2b|e96ec683-a782-802c-8008-65faad3d6d8c,e96ec683-a782-802c-8008-65f641eca84d|e96ec683-a782-802c-8008-65f64362a649|469ffc7d-964a-806d-8008-6c952fec7805|e96ec683-a782-802c-8008-65f7052e0f41|e96ec683-a782-802c-8008-65f64567de5c,,,,,,,,,,,A,not_started,
FMT-008,"Initial inline marks include bold, italic, underline, strikethrough, small caps, superscript, subscript, and links.",c6b492ab-8095-8078-8008-6701b08cbb40,e96ec683-a782-802c-8008-65f641eca84d|e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
