component_id,penpot_component_id,name,variants,states,themes,requirements,implementation_target,notes
PM/ReplacementSelectionControl,e96ec683-a782-802c-8008-65f6f7d76096,ReplacementSelectionControl,,"checked,unchecked,mixed,focus-visible",light|dark,SEARCH-012,production,
PM/RestoreDialog,e96ec683-a782-802c-8008-65f6fe661b3c,RestoreDialog,,"whole-project,restoring,error",light|dark,"HIST-007,HIST-008",production,
PM/TreeRow/Root,e96ec683-a782-802c-8008-65f5eb2cd3f9,Root,,"expanded,collapsed,focus-visible",light|dark,"TREE-001,TREE-016",production,
PM/AtomicBreak/Scene,e96ec683-a782-802c-8008-65f6497d189b,Scene,,"default,selected,focus-visible",light|dark,"FMT-010,FMT-011",production,
PM/SearchMatch,469ffc7d-964a-806d-8008-6c9699f2bd9f,SearchMatch,State,"match,active-match",light|dark,SEARCH-004,production,
PM/SearchResult,e96ec683-a782-802c-8008-65f6f48f6b39,SearchResult,,"default,hover,keyboardfocus,active,stale,deleted",light|dark,"SEARCH-008,SEARCH-010,SEARCH-014",production,
PM/SearchResultGroup,e96ec683-a782-802c-8008-65f6f3773e63,SearchResultGroup,,"expanded,collapsed,streaming,activegroup",light|dark,"SEARCH-008,SEARCH-010,SEARCH-014",production,
PM/Select,e96ec683-a782-802c-8008-65f59c69c917,Select,,"closed,open,focus-visible,disabled",light|dark,"PRJ-003,A11Y-001",production,
PM/SettingsNav,469ffc7d-964a-806d-8008-6c952fec7805,SettingsNav,Selection,"general,appearance,styles,metadata,dictionaries",light|dark,"META-003,FMT-004–007,SPELL-001–003",production,
PM/Sidebar,e96ec683-a782-802c-8008-65f5e0564ae5,Sidebar,,"activedocumentsrevealed,focused-paneactive,other-paneactive,selected,cut",light|dark,"WS-002,WS-003,TREE-001,TREE-019",production,
PM/SpellcheckUnderline,e96ec683-a782-802c-8008-66077bd31eb2,SpellcheckUnderline,,"misspelled,activesuggestion",light|dark,"SPELL-001–003,SPELL-005,A11Y-004",production,In-place misspelling decoration only; service failure is represented by SpellingContextMenu dictionaryerror.
PM/SpellingContextMenu,e96ec683-a782-802c-8008-66077d6e0583,SpellingContextMenu,,"suggestions,nosuggestions,dictionaryerror,keyboardfocus",light|dark,"SPELL-001–005",production,PM / ContextMenu; dictionaryerror is the visible recoverable spellcheck failure state and suggestions are word-anchored.
PM/Splitter,e96ec683-a782-802c-8008-65f5e247224c,Splitter,,"idle,hover,dragging,keyboard-focus",light|dark,"WS-002,WS-006",production,
PM/StatusBar,e96ec683-a782-802c-8008-65f5e7195d18,StatusBar,,"Explorershown/hidden,Inspectorshown/hidden,dirty,saving,saved,error,manuscript-total",light|dark,"WS-013,WORD-001,WORD-002,SAVE-006",production,Manuscript total is a normal-workspace presentation; derived-count loading strategy is not a visual claim.
PM/StyleActionDialog,c6b492ab-8095-8078-8008-66f598c25172,StyleActionDialog,,,light|dark,,production,
PM/StyleEditor,e96ec683-a782-802c-8008-65f7052e0f41,StyleEditor,,"reserved,custom,inherited,dirty,delete-unused,replace-in-use",light|dark,"FMT-003–007,FMT-019",production,Own-entry deletion is available for custom styles; reserved styles have no deletion action.
PM/StyleSelect,e96ec683-a782-802c-8008-65f64567de5c,StyleSelect,,"closed,open,mixed,focus-visible",light|dark,"FMT-002–007,TOOL-005",production,
PM/SynopsisEditor,e96ec683-a782-802c-8008-65f69039ae10,SynopsisEditor,,"empty,editing,populated,focus-visible",light|dark,"META-001,META-002",production,
PM/Tab,e96ec683-a782-802c-8008-65f5e620057d,Tab,,"active,inactive,hover,focus-visible,dirty",light|dark,"EDIT-001,EDIT-003,EDIT-005,EDIT-012,A11Y-003",production,
PM/TextField,e96ec683-a782-802c-8008-65f59a903029,TextField,,"empty,populated,focus-visible,disabled,invalid",light|dark,"PRJ-003,A11Y-001",production,
PM/Toast,e96ec683-a782-802c-8008-65f5a47e7859,Toast,,"success,error,reduced-motion",light|dark,"EXP-009,A11Y-003,A11Y-007",production,Reduced-motion state is tokenized; system-preference verification remains an implementation/native gate.
PM/Tooltip,e96ec683-a782-802c-8008-65f5a0f731ac,Tooltip,,open,light|dark,"CMT-007,A11Y-001",production,
PM/Tree,e96ec683-a782-802c-8008-65f5ea0be98b,Tree,,"default,hover,focus-visible,disabledwhereapplicable",light|dark,"TREE-001,TREE-002,TREE-003",production,
PM/TreeRow/ActiveDocument,e96ec683-a782-802c-8008-660778942c0f,Variants,State,"focused-paneactive,other-paneactive,selected,offscreenreveal",light|dark,"TREE-019,WS-010",production,
PM/WorkspaceTopBar/Export,e96ec683-a782-802c-8008-6607f362d598,WorkspaceTopBar,Destination,activeExport;hover;focus-visible,light|dark,"WS-001,WS-012,HIST-007,DEL-004,SEARCH-006,EXP-008",production,
