screen_id,penpot_page_id,penpot_board_id,name,reference_width,reference_height,scale,platform,theme,state,fixture_id,baseline_status,requirements,reference_image
comments-replies-expanded-composer-light,e96ec683-a782-802c-8008-65f2d91405fb,e96ec683-a782-802c-8008-65fa002ff390,comments-replies-expanded-composer,1440,900,1,shared,light,Expanded: replies visible in chronological order; composer visible.,comments-replies-expanded-composer-default,design-only,WS-004|WS-008|WS-009|META-001–009|CMT-001–012|WS-015|CMT-002|CMT-003|CMT-007|TOOL-005,
comments-resolved-filter-light,e96ec683-a782-802c-8008-65f2d91405fb,e96ec683-a782-802c-8008-65fa061c369c,comments-resolved-thread,1440,900,1,shared,light,resolved-only filter narrows the continuous unsectioned thread list; default is all threads,comments-resolved-filter-default,design-only,WS-004|WS-008|WS-009|META-001–009|CMT-001–012|WS-015|CMT-002|CMT-003|CMT-007|TOOL-005,
comments-unresolved-thread-light,e96ec683-a782-802c-8008-65f2d91405fb,e96ec683-a782-802c-8008-65f9f48c32a9,comments-unresolved-thread,1440,900,1,shared,light,Unresolved default: replies collapsed; composer absent.,comments-unresolved-thread-default,design-only,WS-004|WS-008|WS-009|META-001–009|CMT-001–012|WS-015|CMT-002|CMT-003|CMT-007|TOOL-005,
corrupt-canonical-file-light,e96ec683-a782-802c-8008-65f2d91a23bd,e96ec683-a782-802c-8008-65fb5463b665,corrupt-canonical-file,1440,900,1,shared,light,corrupt canonical file,corrupt-canonical-file-default,design-only,DATA-001|SAVE-013|SAVE-011,
create-project-dialog-light,e96ec683-a782-802c-8008-65f2d90ccb3e,e96ec683-a782-802c-8008-65f78b1ad42a,create-project-dialog,1440,900,1,shared,light,dialog-open,create-project-dialog-default,design-only,PRJ-003|PRJ-004|PRJ-005|PRJ-008|A11Y-003,
editor-both-sidebars-collapsed-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f80715d743,editor-both-sidebars-collapsed,1440,900,1,shared,light,single pane; both sidebars collapsed,editor-both-sidebars-collapsed-default,design-only,WS-002|WS-005|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
editor-context-menu-add-comment-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-660965c89f60,editor-context-menu-add-comment,1440,900,1,shared,light,editor context menu,editor-context-menu-add-comment-default,design-only,CMT-007|FMT-013|FMT-014|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
editor-document-loading-light,e96ec683-a782-802c-8008-65f2d91a23bd,c6b492ab-8095-8078-8008-6702042ef83c,editor-document-loading,1440,900,1,shared,light,document content loading; normal tab strip and pane context preserved,editor-document-loading-default,design-only,WS-002|WS-004|EDIT-010|EDIT-012|PERF-007|PERF-008|PERF-012|TOOL-005|CMT-002|CMT-003|CMT-007,
editor-dual-manuscript-research-left-focus-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f86db30e62,editor-dual-manuscript-research-left-focus,1440,900,1,shared,light,Manuscript primary; Research companion; left focused,editor-dual-manuscript-research-left-focus-default,design-only,WS-006|WS-009|TREE-017|EDIT-006–009|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
editor-dual-manuscript-research-right-focus-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f879cd4b83,editor-dual-manuscript-research-right-focus,1440,900,1,shared,light,Manuscript primary; Research companion; right focused,editor-dual-manuscript-research-right-focus-default,design-only,WS-006|WS-009|TOOL-003|EDIT-006–009|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
editor-dual-dark,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f886281b72,editor-dual-two-manuscript,1440,900,1,shared,dark,two manuscript documents,editor-dual-default,baseline,EDIT-001–005|TREE-018|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,references/dark/editor-dual-dark.png
editor-dual-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f886281b72,editor-dual-two-manuscript,1440,900,1,shared,light,two manuscript documents,editor-dual-default,baseline,EDIT-001–005|TREE-018|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,references/light/editor-dual-light.png
editor-explorer-collapsed-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f80de435f3,editor-explorer-collapsed,1440,900,1,shared,light,single pane; Explorer collapsed,editor-explorer-collapsed-default,design-only,WS-002|WS-005|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
editor-inspector-collapsed-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f815dec29f,editor-inspector-collapsed,1440,900,1,shared,light,single pane; Inspector collapsed,editor-inspector-collapsed-default,design-only,WS-002|WS-005|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
editor-local-find-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f8414ccd0f,editor-local-find,1440,900,1,shared,light,focused-view local search,editor-local-find-default,design-only,SEARCH-001–004|EDIT-007|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
editor-local-replace-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f84b13b6c6,editor-local-replace,1440,900,1,shared,light,local replace expanded,editor-local-replace-default,design-only,SEARCH-003|SEARCH-005|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
editor-long-comments-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f83837a5e5,editor-long-comments,1440,900,1,shared,light,long document with active comments,editor-long-comments-default,design-only,EDIT-010|CMT-001–012|PERF-003|PERF-004|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
editor-same-document-two-views-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f89294547e,editor-same-document-two-views,1440,900,1,shared,light,same document in both panes; independent view state,editor-same-document-two-views-default,design-only,EDIT-002|EDIT-006–010|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
editor-semantic-content-and-breaks-light,e96ec683-a782-802c-8008-65f2d90f4b75,c6b492ab-8095-8078-8008-6701b08cbb40,editor-semantic-content-and-breaks,1440,900,1,shared,light,"semantic styles, supported marks, literal tab, Scene Break and Page Break",editor-semantic-content-and-breaks-default,design-only,FMT-001–018|TOOL-005|EDIT-012|WS-013|WS-015|EDIT-011,
editor-single-dark,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f7fdf858b9,editor-single-default,1440,900,1,shared,dark,single pane; Explorer and Inspector open,editor-single-default,baseline,WS-001–010|EDIT-001|TOOL-001–005|SAVE-006|WORD-001|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,references/dark/editor-single-dark.png
editor-single-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-65f7fdf858b9,editor-single-default,1440,900,1,shared,light,single pane; Explorer and Inspector open,editor-single-default,baseline,WS-001–010|EDIT-001|TOOL-001–005|SAVE-006|WORD-001|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,references/light/editor-single-light.png
editor-spellcheck-suggestions-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-6609938011df,editor-spellcheck-suggestions,1440,900,1,shared,light,spellcheck suggestions and dictionaries,editor-spellcheck-suggestions-default,design-only,SPELL-001–003|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
empty-manuscript-research-roots-light,e96ec683-a782-802c-8008-65f2d91a23bd,e96ec683-a782-802c-8008-65fb64349f88,empty-manuscript-research-roots,1440,900,1,shared,light,empty Manuscript or Research root,empty-manuscript-research-roots-default,design-only,TREE-001|TREE-002|WS-015,
explorer-context-menu-actions-light,e96ec683-a782-802c-8008-65f2d90f4b75,e96ec683-a782-802c-8008-660966256515,explorer-context-menu-actions,1440,900,1,shared,light,explorer context menu,explorer-context-menu-actions-default,design-only,TREE-002|TREE-010|TREE-013|TREE-016|TREE-018|TREE-020|WS-013|WS-015|EDIT-011|EDIT-012|TOOL-005,
export-entire-manuscript-light,e96ec683-a782-802c-8008-65f2d9186d87,e96ec683-a782-802c-8008-65faeaa3e09e,export-entire-manuscript,1440,900,1,shared,light,entire manuscript,export-entire-manuscript-default,design-only,EXP-001–010|SAVE-001–014|EXP-003,
export-failure-light,e96ec683-a782-802c-8008-65f2d9186d87,e96ec683-a782-802c-8008-65fb074b023d,export-failure,1440,900,1,shared,light,export failure,export-failure-default,design-only,EXP-001–010|SAVE-001–014|EXP-003,
export-numbering-light,e96ec683-a782-802c-8008-65f2d9186d87,e96ec683-a782-802c-8008-65fb01630314,export-numbering,1440,900,1,shared,light,numbering option on,export-numbering-default,design-only,EXP-001–010|SAVE-001–014|EXP-003,
export-progress-light,e96ec683-a782-802c-8008-65f2d9186d87,c5362ef2-ec03-8060-8008-68aaf1104250,export-progress,1440,900,1,shared,light,entire manuscript,export-progress-default,design-only,EXP-001–010|SAVE-001–014|EXP-003,
export-project-output-controls-dark,e96ec683-a782-802c-8008-65f2d9186d87,e96ec683-a782-802c-8008-65faf34784d8,export-project-output-controls,1440,900,1,shared,dark,inherited include title page-break controls,export-default,baseline,EXP-001–010|SAVE-001–014|EXP-003,references/dark/export-dark.png
export-project-output-controls-light,e96ec683-a782-802c-8008-65f2d9186d87,e96ec683-a782-802c-8008-65faf34784d8,export-project-output-controls,1440,900,1,shared,light,inherited include title page-break controls,export-default,baseline,EXP-001–010|SAVE-001–014|EXP-003,references/light/export-light.png
export-success-light,e96ec683-a782-802c-8008-65f2d9186d87,e96ec683-a782-802c-8008-65fb047acc6d,export-success,1440,900,1,shared,light,successful export actions,export-success-default,design-only,EXP-001–010|SAVE-001–014|EXP-003,
global-replace-preview-exclusions-light,e96ec683-a782-802c-8008-65f2d9128b15,e96ec683-a782-802c-8008-65f9c16a2709,global-replace-preview-exclusions,1440,900,1,shared,light,replacement preview with excluded match and document,global-replace-preview-exclusions-default,design-only,SEARCH-006|SEARCH-007|SEARCH-008|SEARCH-009|SEARCH-010|SEARCH-011|SEARCH-012|SEARCH-013|SEARCH-014|WS-015,
history-named-snapshot-light,e96ec683-a782-802c-8008-65f2d915ae69,e96ec683-a782-802c-8008-65fa5be73781,history-named-snapshot,1440,900,1,shared,light,named snapshot,history-named-snapshot-default,design-only,HIST-001–010|HIST-007,
history-restore-project-light,e96ec683-a782-802c-8008-65f2d915ae69,e96ec683-a782-802c-8008-65fa75e1d788,history-restore-checkpoint,1440,900,1,shared,light,whole project restore,history-restore-project-default,design-only,HIST-001–010|HIST-007,
history-dark,e96ec683-a782-802c-8008-65f2d915ae69,e96ec683-a782-802c-8008-65fa56f4c808,history-session-date-grouped,1440,900,1,shared,dark,grouped by session and date,history-default,baseline,HIST-001–010|HIST-007,references/dark/history-dark.png
history-light,e96ec683-a782-802c-8008-65f2d915ae69,e96ec683-a782-802c-8008-65fa56f4c808,history-session-date-grouped,1440,900,1,shared,light,grouped by session and date,history-default,baseline,HIST-001–010|HIST-007,references/light/history-light.png
history-unavailable-light,e96ec683-a782-802c-8008-65f2d91a23bd,e96ec683-a782-802c-8008-65fb4bdc4cf4,history-unavailable,1440,900,1,shared,light,history unavailable; current readable,history-unavailable-default,design-only,HIST-009|HIST-007,
inspector-group-no-comments-light,e96ec683-a782-802c-8008-65f2d91405fb,e96ec683-a782-802c-8008-65fa1f2ce4b0,inspector-group-no-comments,1440,900,1,shared,light,group Inspector; no Comments panel,inspector-group-no-comments-default,design-only,WS-004|WS-008|WS-009|META-001–009|CMT-001–012|WS-015|TOOL-005|CMT-002|CMT-003|CMT-007,
inspector-many-metadata-fields-light,e96ec683-a782-802c-8008-65f2d91405fb,e96ec683-a782-802c-8008-65fa2a7463fd,inspector-many-metadata-fields,1440,900,1,shared,light,many metadata fields,inspector-many-metadata-fields-default,design-only,WS-004|WS-008|WS-009|META-001–009|CMT-001–012|WS-015|TOOL-005|CMT-002|CMT-003|CMT-007,
inspector-no-metadata-fields-light,e96ec683-a782-802c-8008-65f2d91405fb,e96ec683-a782-802c-8008-65fa24b8839c,inspector-no-metadata-fields,1440,900,1,shared,light,no metadata definitions,inspector-no-metadata-fields-default,design-only,WS-004|WS-008|WS-009|META-001–009|CMT-001–012|WS-015|TOOL-005|CMT-002|CMT-003|CMT-007,
launcher-first-launch-light,e96ec683-a782-802c-8008-65f2d90ccb3e,e96ec683-a782-802c-8008-65f7642df84d,launcher-first-launch,1440,900,1,shared,light,"first-launch, no-recent-projects",launcher-first-launch-default,design-only,PRJ-001|PRJ-002|SEC-001,
launcher-locked-project-light,e96ec683-a782-802c-8008-65f2d90ccb3e,e96ec683-a782-802c-8008-65f770ca73a0,launcher-locked-project,1440,900,1,shared,light,locked-already-open,launcher-locked-project-default,design-only,PRJ-006|PRJ-007,
launcher-missing-project-light,e96ec683-a782-802c-8008-65f2d90ccb3e,e96ec683-a782-802c-8008-65f76cdbc050,launcher-missing-project,1440,900,1,shared,light,missing-or-moved,launcher-missing-project-default,design-only,PRJ-002|PRJ-009,
launcher-dark,e96ec683-a782-802c-8008-65f2d90ccb3e,e96ec683-a782-802c-8008-65f767f20cfd,launcher-recent,1440,900,1,shared,dark,recent-projects,launcher-default,baseline,PRJ-001|PRJ-002|PRJ-009,references/dark/launcher-dark.png
launcher-light,e96ec683-a782-802c-8008-65f2d90ccb3e,e96ec683-a782-802c-8008-65f767f20cfd,launcher-recent,1440,900,1,shared,light,recent-projects,launcher-default,baseline,PRJ-001|PRJ-002|PRJ-009,references/light/launcher-light.png
lost-comment-anchor-light,e96ec683-a782-802c-8008-65f2d91a23bd,e96ec683-a782-802c-8008-65fb59b02e93,lost-comment-anchor,1440,900,1,shared,light,lost comment anchor,lost-comment-anchor-default,design-only,CMT-011|CMT-012|WS-015|TOOL-005|CMT-002|CMT-003|CMT-007,
project-format-migration-light,e96ec683-a782-802c-8008-65f2d91a23bd,e96ec683-a782-802c-8008-65fb51954307,project-format-migration,1440,900,1,shared,light,project format migration,project-format-migration-default,design-only,DATA-001|DATA-005|SAVE-013,
recently-deleted-dark,e96ec683-a782-802c-8008-65f2d915ae69,e96ec683-a782-802c-8008-65fa7a7978c7,recently-deleted,1440,900,1,shared,dark,recently deleted list,recently-deleted-default,baseline,DEL-001–007|HIST-007,references/dark/recently-deleted-dark.png
recently-deleted-light,e96ec683-a782-802c-8008-65f2d915ae69,e96ec683-a782-802c-8008-65fa7a7978c7,recently-deleted,1440,900,1,shared,light,recently deleted list,recently-deleted-default,baseline,DEL-001–007|HIST-007,references/light/recently-deleted-light.png
recently-deleted-fallback-location-light,e96ec683-a782-802c-8008-65f2d915ae69,e96ec683-a782-802c-8008-65fa7f1e374c,recently-deleted-fallback-location,1440,900,1,shared,light,former parent missing; fallback to section root,recently-deleted-fallback-location-default,design-only,DEL-001–007|HIST-007,
error-recovery-dark,e96ec683-a782-802c-8008-65f2d91a23bd,e96ec683-a782-802c-8008-65fb6192c697,recovered-after-crash,1440,900,1,shared,dark,recovered changes after crash,error-recovery-default,baseline,SAVE-011|SAVE-012|SAVE-013,references/dark/error-recovery-dark.png
error-recovery-light,e96ec683-a782-802c-8008-65f2d91a23bd,e96ec683-a782-802c-8008-65fb6192c697,recovered-after-crash,1440,900,1,shared,light,recovered changes after crash,error-recovery-default,baseline,SAVE-011|SAVE-012|SAVE-013,references/light/error-recovery-light.png
search-index-rebuilding-light,e96ec683-a782-802c-8008-65f2d91a23bd,e96ec683-a782-802c-8008-65fb4efce34b,search-index-rebuilding,1440,900,1,shared,light,search index rebuilding,search-index-rebuilding-default,design-only,SEARCH-010|PERF-012|SEARCH-012,
search-no-results-light,e96ec683-a782-802c-8008-65f2d9128b15,e96ec683-a782-802c-8008-65f9a2cffacf,search-no-results,1440,900,1,shared,light,no results,search-no-results-default,design-only,SEARCH-006–014|WS-015|SEARCH-012,
global-search-dark,e96ec683-a782-802c-8008-65f2d9128b15,e96ec683-a782-802c-8008-65f9972c44e6,search-query-entry,1440,900,1,shared,dark,query entry,global-search-default,baseline,SEARCH-006–014|WS-015|SEARCH-012,references/dark/global-search-dark.png
global-search-light,e96ec683-a782-802c-8008-65f2d9128b15,e96ec683-a782-802c-8008-65f9972c44e6,search-query-entry,1440,900,1,shared,light,query entry,global-search-default,baseline,SEARCH-006–014|WS-015|SEARCH-012,references/light/global-search-light.png
search-result-navigation-light,e96ec683-a782-802c-8008-65f2d9128b15,e96ec683-a782-802c-8008-65f9bbc1b569,search-result-navigation,1440,900,1,shared,light,active result navigation,search-result-navigation-default,design-only,SEARCH-006–014|WS-015|SEARCH-012,
search-stale-deleted-results-light,e96ec683-a782-802c-8008-65f2d9128b15,e96ec683-a782-802c-8008-65f9c73f12a6,search-stale-deleted-results,1440,900,1,shared,light,stale and deleted result notification,search-stale-deleted-results-default,design-only,SEARCH-006–014|WS-015|SEARCH-012,
search-streaming-results-light,e96ec683-a782-802c-8008-65f2d9128b15,e96ec683-a782-802c-8008-65f99d3542bd,search-streaming-results,1440,900,1,shared,light,streaming results,search-streaming-results-default,design-only,SEARCH-006–014|WS-015|SEARCH-012,
settings-appearance-dark-override-light,e96ec683-a782-802c-8008-65f2d9176c12,469ffc7d-964a-806d-8008-6c33b6cca37b,settings-appearance-dark-override,1440,900,1,shared,light,Explicit Dark remains Dark after OS changes Dark to Light,settings-appearance-dark-override-default,design-only,APPR-001|APPR-003|APPR-004|APPR-005|APPR-007|APPR-008|APPR-009,
settings-appearance-light-override-light,e96ec683-a782-802c-8008-65f2d9176c12,a75ba61d-99f5-8033-8008-6d4dd58f3557,settings-appearance-light-override,1440,900,1,shared,light,Explicit Light remains Light after OS changes Dark to Light,settings-appearance-light-override-default,design-only,APPR-001|APPR-003|APPR-004|APPR-007|APPR-008|APPR-009,
settings-appearance-dark,e96ec683-a782-802c-8008-65f2d9176c12,469ffc7d-964a-806d-8008-6c33b32674a9,settings-appearance-system,1440,900,1,shared,dark,System selected; OS Light to Dark updates every open window,settings-appearance-default,baseline,APPR-001|APPR-002|APPR-004|APPR-007|APPR-008|APPR-009,references/dark/settings-appearance-dark.png
settings-appearance-light,e96ec683-a782-802c-8008-65f2d9176c12,469ffc7d-964a-806d-8008-6c33b32674a9,settings-appearance-system,1440,900,1,shared,light,System selected; OS Light to Dark updates every open window,settings-appearance-default,baseline,APPR-001|APPR-002|APPR-004|APPR-007|APPR-008|APPR-009,references/light/settings-appearance-light.png
settings-delete-unused-style-light,e96ec683-a782-802c-8008-65f2d9176c12,e96ec683-a782-802c-8008-65fab0e9731e,settings-delete-unused-style,1440,900,1,shared,light,delete unused custom style,settings-delete-unused-style-default,design-only,FMT-003–007,
settings-dictionaries-light,e96ec683-a782-802c-8008-65f2d9176c12,e96ec683-a782-802c-8008-65fac637bfea,settings-dictionaries,1440,900,1,shared,light,required spellcheck dictionaries and language settings,settings-dictionaries-default,design-only,SPELL-001–003,
settings-general-light,e96ec683-a782-802c-8008-65f2d9176c12,e96ec683-a782-802c-8008-65faa931a6ee,settings-general,1440,900,1,shared,light,general project settings,settings-general-default,design-only,PRJ-003|PRJ-004,
settings-metadata-fields-light,e96ec683-a782-802c-8008-65f2d9176c12,e96ec683-a782-802c-8008-65fac2af3c48,settings-metadata-fields,1440,900,1,shared,light,metadata list editor applicability card visibility,settings-metadata-fields-default,design-only,META-003–009,
settings-replace-in-use-style-light,e96ec683-a782-802c-8008-65f2d9176c12,e96ec683-a782-802c-8008-65fab46a9e2b,settings-replace-in-use-style,1440,900,1,shared,light,replace in-use style before deletion,settings-replace-in-use-style-default,design-only,FMT-003–007,
settings-styles-inheritance-light,e96ec683-a782-802c-8008-65f2d9176c12,e96ec683-a782-802c-8008-65faad3d6d8c,settings-styles-inheritance,1440,900,1,shared,light,style list editor and inheritance,settings-styles-inheritance-default,design-only,FMT-003–007,
unsupported-pasted-image-light,e96ec683-a782-802c-8008-65f2d91a23bd,e96ec683-a782-802c-8008-65fb56ee8f75,unsupported-pasted-image,1440,900,1,shared,light,unsupported pasted image,unsupported-pasted-image-default,design-only,FMT-015|SAVE-012|TOOL-005|CMT-002|CMT-003|CMT-007,
